ID,age,gender
20010,56,2
20020,67,2
20030,45,2
20040,37,2
20050,55,2
20060,23,2
20070,52,2
20080,33,2
20090,58,2
20100,53,2
20110,26,2
20120,44,2
20122,47,2
20130,54,2
20140,47,2
20150,49,2
20170,53,2
20180,60,2
20190,62,1
20200,62,2
20201,60,1
20220,53,2
20230,53,2
20250,50,1
20270,50,2
20280,51,2
20290,58,2
20300,48,2
20310,62,2
20320,54,2
20321,52,2
20340,31,2
20350,48,2
20360,48,2
20390,60,2
20391,61,1
20400,43,1
20410,55,2
20440,51,2
20450,57,2
20460,58,2
20470,63,2
20480,36,2
20490,56,2
20500,57,2
20520,51,2
20521,51,1
20530,53,2
20540,60,1
20550,53,2
20560,44,2
20570,44,1
20590,53,2
20600,57,2
20610,50,2
20630,55,2
20650,40,2
20660,62,2
20670,57,2
20680,29,2
20690,44,2
20691,46,1
20700,41,2
20710,44,2
20720,49,2
20730,57,2
20731,49,2
20740,54,2
20750,59,2
20751,65,2
20760,53,1
20770,47,2
20810,38,2
20820,52,2
20850,58,2
20860,47,2
20880,47,2
20900,28,2
20910,47,2
20912,49,2
20930,36,2
20950,39,2
20960,32,2
20970,29,2
20971,28,1
20980,57,2
21000,43,2
21010,52,2
21020,59,1
21030,55,2
21040,50,2
21050,60,2
21060,31,2
21070,58,2
21080,38,2
21081,41,1
21090,59,2
21100,26,2
21101,75,2
21110,37,2
21120,45,2
21130,63,2
21131,67,1
21140,33,2
21150,37,2
21160,44,2
21170,53,2
21180,35,2
21181,43,2
21190,53,2
21200,50,2
21220,36,2
21230,36,2
21240,51,2
21250,37,2
21260,58,2
21270,34,2
21280,56,2
21290,62,2
21300,53,2
21310,55,2
21311,52,1
21320,52,2
21330,56,2
21340,26,2
21350,51,2
21360,45,2
21370,56,2
21390,50,2
21400,52,2
21410,31,2
21420,44,2
21430,50,2
21440,56,2
21450,57,2
21460,58,2
21470,56,2
21480,44,2
90830,51,2
,,
,,
,,
,,
,,
,,
,,
,,
,,
